method,frame,lpips,temporal_mse,tlpips_delta
Fine-tuned BasicVSR++,002/00000004,0.1186729371547699,0.00025114594609476626,0.10832212120294571
Fine-tuned BasicVSR++,002/00000005,0.10751687735319138,0.0002441902761347592,0.10014644265174866
Fine-tuned BasicVSR++,002/00000006,0.10193829238414764,0.00023833723389543593,0.09502909332513809
Fine-tuned BasicVSR++,002/00000007,0.08952639997005463,0.0002274000580655411,0.08609265834093094
Fine-tuned BasicVSR++,002/00000008,0.09432148933410645,0.00023411697475239635,0.08360099047422409
Fine-tuned BasicVSR++,002/00000009,0.09901438653469086,0.00026651969528757036,0.09136548638343811
Fine-tuned BasicVSR++,002/00000010,0.09127110987901688,0.00027418119134381413,0.08322501182556152
Fine-tuned BasicVSR++,002/00000011,0.08623885363340378,0.0002526713360566646,0.08381948620080948
Fine-tuned BasicVSR++,002/00000012,0.07200972735881805,0.000253306730883196,0.07824438065290451
Fine-tuned BasicVSR++,002/00000013,0.0849868655204773,0.00026326082297600806,0.07689283788204193
Fine-tuned BasicVSR++,002/00000014,0.08431918174028397,0.00026873344904743135,0.08254694938659668
Fine-tuned BasicVSR++,002/00000015,0.08487454056739807,0.0002788774436339736,0.08239902555942535
Fine-tuned BasicVSR++,002/00000016,0.09176595509052277,0.0002889935567509383,0.08777052164077759
Fine-tuned BasicVSR++,002/00000017,0.09241834282875061,0.0002987076295539737,0.08853389322757721
Fine-tuned BasicVSR++,002/00000018,0.07709486782550812,0.0002747737162280828,0.08083778619766235
Fine-tuned BasicVSR++,002/00000019,0.08790262043476105,0.00026109948521479964,0.07970605045557022
Fine-tuned BasicVSR++,002/00000020,0.08460455387830734,0.0002696121227927506,0.07997304201126099
Fine-tuned BasicVSR++,002/00000021,0.08829687535762787,0.00026729368255473673,0.08257973194122314
Fine-tuned BasicVSR++,002/00000022,0.08688946068286896,0.00027243589283898473,0.07519425451755524
Fine-tuned BasicVSR++,002/00000023,0.08978834748268127,0.0002643086190801114,0.07943062484264374
Fine-tuned BasicVSR++,002/00000024,0.08236134052276611,0.0002557878033258021,0.07769788056612015
Fine-tuned BasicVSR++,002/00000025,0.08820123970508575,0.0002687350788619369,0.08077818900346756
Fine-tuned BasicVSR++,002/00000026,0.08104874193668365,0.00024280037905555218,0.07609757035970688
Fine-tuned BasicVSR++,002/00000027,0.08755943179130554,0.00022238130623009056,0.07432489842176437
Fine-tuned BasicVSR++,002/00000028,0.0849669873714447,0.00022721508867107332,0.07959267497062683
